saaq_snapshot_year,region_qc,saaq_fuel_code,saaq_fuel_type,number_registered_qc
2022,Laurentides (15),D,Diésel,9523
2022,Laurentides (15),E,Essence,432609
2022,Laurentides (15),H,Hybride,7001
2022,Laurentides (15),L,Électricité,10451
2022,Laurentides (15),N,Gaz naturel,27
2022,Laurentides (15),P,Propane,330
2022,Laurentides (15),W,Hybride branchable,5576
2022,Laval (13),A,Autre,8
2022,Laval (13),D,Diésel,3946
2022,Laval (13),E,Essence,258716
2022,Laval (13),H,Hybride,5165
2022,Laval (13),L,Électricité,6562
2022,Laval (13),N,Gaz naturel,24
2022,Laval (13),P,Propane,169
2022,Laval (13),W,Hybride branchable,3274
2022,Mauricie (04),A,Autre,8
2022,Mauricie (04),D,Diésel,3777
2022,Mauricie (04),E,Essence,182988
2022,Mauricie (04),H,Hybride,2712
2022,Mauricie (04),L,Électricité,2795
2022,Mauricie (04),N,Gaz naturel,29
2022,Mauricie (04),P,Propane,49
2022,Mauricie (04),W,Hybride branchable,2253
2022,Montréal (06),A,Autre,34
2022,Montréal (06),C,Hydrogène,3
2022,Montréal (06),D,Diésel,11097
2022,Montréal (06),E,Essence,852529
2022,Montréal (06),H,Hybride,20568
2022,Montréal (06),L,Électricité,17620
2022,Montréal (06),M,Méthanol,1
2022,Montréal (06),N,Gaz naturel,76
2022,Montréal (06),P,Propane,349
2022,Montréal (06),S,Non-propulsé,1
2022,Montréal (06),W,Hybride branchable,9618
2022,Montérégie (16),A,Autre,36
2022,Montérégie (16),D,Diésel,20745
2022,Montérégie (16),E,Essence,919647
2022,Montérégie (16),H,Hybride,18128
2022,Montérégie (16),L,Électricité,25350
2022,Montérégie (16),N,Gaz naturel,93
2022,Montérégie (16),P,Propane,1133
2022,Montérégie (16),S,Non-propulsé,3
2022,Montérégie (16),W,Hybride branchable,14831
2022,Nord-du-Québec (10),A,Autre,1
2022,Nord-du-Québec (10),D,Diésel,438
2022,Nord-du-Québec (10),E,Essence,16090
2022,Nord-du-Québec (10),H,Hybride,172
2022,Nord-du-Québec (10),L,Électricité,36
2022,Nord-du-Québec (10),N,Gaz naturel,1
2022,Nord-du-Québec (10),P,Propane,2
2022,Nord-du-Québec (10),W,Hybride branchable,64
2022,Outaouais (07),A,Autre,7
2022,Outaouais (07),D,Diésel,5015
2022,Outaouais (07),E,Essence,248889
2022,Outaouais (07),H,Hybride,4369
2022,Outaouais (07),L,Électricité,3364
2022,Outaouais (07),N,Gaz naturel,20
2022,Outaouais (07),P,Propane,31
2022,Outaouais (07),W,Hybride branchable,2411
2022,Saguenay–Lac-Saint-Jean (02),A,Autre,10
2022,Saguenay–Lac-Saint-Jean (02),D,Diésel,3708
2022,Saguenay–Lac-Saint-Jean (02),E,Essence,193533
2022,Saguenay–Lac-Saint-Jean (02),H,Hybride,2811
2022,Saguenay–Lac-Saint-Jean (02),L,Électricité,1994
2022,Saguenay–Lac-Saint-Jean (02),N,Gaz naturel,29
2022,Saguenay–Lac-Saint-Jean (02),P,Propane,111
2022,Saguenay–Lac-Saint-Jean (02),W,Hybride branchable,1774
2022,,C,Hydrogène,2
2022,,D,Diésel,275
2022,,E,Essence,23881
2022,,H,Hybride,662
2022,,L,Électricité,172
2022,,N,Gaz naturel,1
2022,,P,Propane,9
2022,,W,Hybride branchable,121
